root@eda-demo-control-plane:/# kubectl get crds
NAME                                                    CREATED AT
addresspools.metallb.io                                 2025-11-24T13:37:47Z
aggregateroutes.protocols.eda.nokia.com                 2025-11-24T13:47:34Z
alarms.core.eda.nokia.com                               2025-11-24T13:40:12Z
appinstallers.appstore.eda.nokia.com                    2025-11-24T13:40:12Z
artifacts.artifacts.eda.nokia.com                       2025-11-24T13:40:12Z
aspathsetdeployments.routingpolicies.eda.nokia.com      2025-11-24T13:47:20Z
aspathsets.routingpolicies.eda.nokia.com                2025-11-24T13:47:20Z
attachmentlookups.routing.eda.nokia.com                 2025-11-24T13:47:10Z
backends.aifabrics.eda.nokia.com                        2025-11-24T13:47:22Z
backendstates.aifabrics.eda.nokia.com                   2025-11-24T13:47:22Z
banners.siteinfo.eda.nokia.com                          2025-11-24T13:47:18Z
bannerstates.siteinfo.eda.nokia.com                     2025-11-24T13:47:18Z
bfdprofiles.metallb.io                                  2025-11-24T13:37:47Z
bgpadvertisements.metallb.io                            2025-11-24T13:37:47Z
bgpgroupdeployments.protocols.eda.nokia.com             2025-11-24T13:47:34Z
bgpgroups.protocols.eda.nokia.com                       2025-11-24T13:47:34Z
bgpgroupstates.protocols.eda.nokia.com                  2025-11-24T13:47:34Z
bgppeers.metallb.io                                     2025-11-24T13:37:47Z
bgppeers.protocols.eda.nokia.com                        2025-11-24T13:47:34Z
bgppeerstates.protocols.eda.nokia.com                   2025-11-24T13:47:34Z
breakouts.interfaces.eda.nokia.com                      2025-11-24T13:47:33Z
bridgedomaindeployments.services.eda.nokia.com          2025-11-24T13:47:14Z
bridgedomains.services.eda.nokia.com                    2025-11-24T13:47:15Z
bridgedomainstates.services.eda.nokia.com               2025-11-24T13:47:15Z
bridgeinterfaces.services.eda.nokia.com                 2025-11-24T13:47:15Z
bridgeinterfacestates.services.eda.nokia.com            2025-11-24T13:47:15Z
bundles.trust.cert-manager.io                           2025-11-24T13:39:24Z
catalogs.appstore.eda.nokia.com                         2025-11-24T13:40:12Z
certificatechecks.certcheck.eda.nokia.com               2025-11-24T13:40:57Z
certificaterequests.cert-manager.io                     2025-11-24T13:38:58Z
certificates.cert-manager.io                            2025-11-24T13:38:58Z
challenges.acme.cert-manager.io                         2025-11-24T13:38:58Z
chassis.components.eda.nokia.com                        2025-11-24T13:47:25Z
checkdefaultbgppeerss.protocols.eda.nokia.com           2025-11-24T13:47:34Z
checkinterfacess.interfaces.eda.nokia.com               2025-11-24T13:47:33Z
cliplugins.environment.eda.nokia.com                    2025-11-24T13:47:23Z
clusterdiscoveries.components.eda.nokia.com             2025-11-24T13:47:25Z
clusterissuers.cert-manager.io                          2025-11-24T13:38:58Z
clusterroles.core.eda.nokia.com                         2025-11-24T13:40:12Z
communities.metallb.io                                  2025-11-24T13:37:47Z
communitysetdeployments.routingpolicies.eda.nokia.com   2025-11-24T13:47:20Z
communitysets.routingpolicies.eda.nokia.com             2025-11-24T13:47:20Z
components.components.eda.nokia.com                     2025-11-24T13:47:25Z
configlets.config.eda.nokia.com                         2025-11-24T13:47:19Z
configletstates.config.eda.nokia.com                    2025-11-24T13:47:19Z
controlmodules.components.eda.nokia.com                 2025-11-24T13:47:25Z
controlplanefilters.filters.eda.nokia.com               2025-11-24T13:47:13Z
cpuoverlays.components.eda.nokia.com                    2025-11-24T13:47:25Z
cxclusters.cx.eda.nokia.com                             2025-11-24T13:40:12Z
defaultaggregateroutes.protocols.eda.nokia.com          2025-11-24T13:47:34Z
defaultbgpgroupdeployments.protocols.eda.nokia.com      2025-11-24T13:47:34Z
defaultbgpgroups.protocols.eda.nokia.com                2025-11-24T13:47:34Z
defaultbgppeers.protocols.eda.nokia.com                 2025-11-24T13:47:34Z
defaultinterfaces.routing.eda.nokia.com                 2025-11-24T13:47:10Z
defaultinterfacestates.routing.eda.nokia.com            2025-11-24T13:47:10Z
defaultroutereflectorclients.protocols.eda.nokia.com    2025-11-24T13:47:34Z
defaultroutereflectors.protocols.eda.nokia.com          2025-11-24T13:47:34Z
defaultrouters.routing.eda.nokia.com                    2025-11-24T13:47:10Z
defaultrouterstates.routing.eda.nokia.com               2025-11-24T13:47:10Z
defaultstaticroutes.protocols.eda.nokia.com             2025-11-24T13:47:34Z
deployimages.os.eda.nokia.com                           2025-11-24T13:47:32Z
designers.core.eda.nokia.com                            2025-11-24T13:40:12Z
deviationactions.core.eda.nokia.com                     2025-11-24T13:40:12Z
deviationoverlays.topologies.eda.nokia.com              2025-11-24T13:47:29Z
deviations.core.eda.nokia.com                           2025-11-24T13:40:12Z
dhcprelays.services.eda.nokia.com                       2025-11-24T13:47:15Z
discoveries.components.eda.nokia.com                    2025-11-24T13:47:25Z
discoveryaggregatestates.components.eda.nokia.com       2025-11-24T13:47:25Z
discoverystates.components.eda.nokia.com                2025-11-24T13:47:25Z
drains.routing.eda.nokia.com                            2025-11-24T13:47:10Z
drainstates.routing.eda.nokia.com                       2025-11-24T13:47:10Z
edgeinterfaces.core.eda.nokia.com                       2025-11-24T13:40:12Z
edgepings.services.eda.nokia.com                        2025-11-24T13:47:15Z
egresspolicys.qos.eda.nokia.com                         2025-11-24T13:47:24Z
engineconfigs.core.eda.nokia.com                        2025-11-24T13:40:12Z
fabricmodules.components.eda.nokia.com                  2025-11-24T13:47:25Z
fabrics.fabrics.eda.nokia.com                           2025-11-24T13:47:27Z
fabricstates.fabrics.eda.nokia.com                      2025-11-24T13:47:27Z
fans.components.eda.nokia.com                           2025-11-24T13:47:25Z
filterdeployments.filters.eda.nokia.com                 2025-11-24T13:47:13Z
filters.filters.eda.nokia.com                           2025-11-24T13:47:13Z
forwardingclasss.qos.eda.nokia.com                      2025-11-24T13:47:24Z
globalconfigs.core.eda.nokia.com                        2025-11-24T13:40:12Z
httpproxies.core.eda.nokia.com                          2025-11-24T13:40:12Z
indexallocationpools.core.eda.nokia.com                 2025-11-24T13:40:12Z
ingresspolicys.qos.eda.nokia.com                        2025-11-24T13:47:24Z
inits.bootstrap.eda.nokia.com                           2025-11-24T13:47:17Z
interfacemodules.components.eda.nokia.com               2025-11-24T13:47:25Z
interfaces.interfaces.eda.nokia.com                     2025-11-24T13:47:33Z
interfacestates.interfaces.eda.nokia.com                2025-11-24T13:47:33Z
ipaddresspools.metallb.io                               2025-11-24T13:37:47Z
ipallocationpools.core.eda.nokia.com                    2025-11-24T13:40:12Z
ipinsubnetallocationpools.core.eda.nokia.com            2025-11-24T13:40:12Z
irbinterfaces.services.eda.nokia.com                    2025-11-24T13:47:14Z
irbinterfacestates.services.eda.nokia.com               2025-11-24T13:47:15Z
islpings.fabrics.eda.nokia.com                          2025-11-24T13:47:27Z
isls.fabrics.eda.nokia.com                              2025-11-24T13:47:27Z
islstates.fabrics.eda.nokia.com                         2025-11-24T13:47:27Z
issuers.cert-manager.io                                 2025-11-24T13:38:58Z
keychaindeployments.security.eda.nokia.com              2025-11-24T13:47:12Z
keychains.security.eda.nokia.com                        2025-11-24T13:47:12Z
